Player,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Jakub Voracek,PHI,LW,33,6,16,22,3,17,57,1,2,5,0,0,13,10
Drew Doughty,LA,D,35,6,16,22,-5,12,82,2,4,5,0,1,68,54
Zach Werenski,CLS,D,26,6,10,16,-6,8,65,1,2,5,0,0,18,29
Artturi Lehkonen,MON,LW,33,6,7,13,5,16,66,1,0,0,0,0,69,20
Yanni Gourde,TB,LW,31,6,10,16,0,21,52,3,1,4,0,0,28,12
Andrew Mangiapane,CGY,LW,33,6,4,10,2,10,41,1,0,0,0,0,33,9
Mitch Marner,TOR,C,23,6,19,25,-1,6,58,0,3,6,0,1,9,18
Alex Tuch,VGK,RW,19,5,5,10,-1,4,45,1,2,2,0,0,18,9
Ivan Barbashev,STL,LW,34,5,10,15,2,7,39,1,0,0,1,1,71,22
Marc-Edouard Vlasic,SJ,D,35,5,5,10,1,0,33,1,0,0,1,0,24,52
Patrick Maroon,TB,LW,29,5,6,11,-1,36,45,0,1,1,0,0,49,4
Ryan Ellis,NSH,D,32,5,18,23,11,13,76,1,0,4,0,0,30,60
Chandler Stephenson,VGK,RW,31,5,3,8,9,8,25,2,0,1,0,1,27,17
Brandon Sutter,VAN,C,21,5,3,8,3,7,42,0,0,0,0,0,8,9
Derek Stepan,ARI,C,35,5,6,11,-4,10,73,2,1,4,0,0,21,20
Marcus Sorensen,SJ,RW,32,5,4,9,-10,20,38,0,0,0,0,0,29,6
Mackenzie MacEachern,STL,LW,28,5,2,7,2,9,34,1,0,0,0,0,50,7
David Kampf,CHI,RW,34,5,3,8,-10,4,49,1,0,0,1,0,30,16
Nikita Gusev,NJ,LW,29,5,9,14,-7,12,68,0,0,2,0,0,7,4
Adam Fox,NYR,D,33,5,12,17,3,12,53,2,1,7,0,0,11,45
Andrew Copp,WPG,C,33,5,9,14,0,6,65,1,0,0,0,1,33,13
Garnet Hathaway,WAS,RW,32,5,5,10,3,47,35,1,0,0,0,1,90,22
Brent Burns,SJ,D,35,5,16,21,-23,26,94,0,2,7,0,1,37,44
Austin Watson,NSH,LW,32,5,6,11,3,40,32,1,0,0,0,2,70,34
Tyler Bozak,STL,C,35,5,10,15,2,6,53,0,0,1,1,0,22,18
Darren Helm,DET,C,34,5,3,8,2,27,46,0,0,0,0,1,37,15
Andreas Athanasiou,DET,C,31,5,11,16,-35,8,73,0,1,3,0,0,20,15
Nico Hischier,NJ,C,27,5,11,16,-7,4,57,0,1,4,1,0,27,15
Tyson Jost,COL,C,30,5,4,9,6,12,56,0,0,1,0,0,21,9
Danton Heinen,BOS,C,34,5,8,13,5,4,51,2,2,2,0,0,14,25
Jacob Trouba,NYR,D,33,5,12,17,0,14,91,1,2,4,0,2,82,62
Brad Hunt,MIN,D,34,5,7,12,-4,0,53,0,2,5,0,0,6,19
Zdeno Chara,BOS,D,34,5,8,13,18,32,51,2,0,0,0,0,41,55
Sidney Crosby,PIT,C,17,5,12,17,-1,7,46,0,1,2,0,0,17,7
Kirby Dach,CHI,C,28,5,5,10,-3,8,38,2,0,1,0,0,13,8
Sammy Blais,STL,LW,20,5,3,8,2,10,29,1,0,0,0,0,70,6
Connor Brown,OTT,RW,34,5,15,20,2,10,78,0,0,1,0,0,11,22
Carter Rowney,ANH,C,33,5,3,8,0,12,38,1,0,0,1,0,95,16
Vince Dunn,STL,D,35,5,4,9,7,10,74,1,3,2,0,0,23,22
Christian Fischer,ARI,RW,34,5,2,7,9,8,62,1,0,0,0,0,78,16
Conor Sheary,BUF,LW,28,5,4,9,3,4,46,1,1,1,0,0,18,15
Aaron Ekblad,FLA,D,32,5,16,21,13,16,81,1,0,1,0,1,15,41
Ryan Graves,COL,D,32,5,8,13,22,29,54,0,0,0,0,1,48,72
Brendan Lemieux,NYR,LW,31,5,7,12,-6,71,51,0,1,1,1,1,79,36
Zemgus Girgensons,BUF,C,34,5,4,9,2,8,41,1,0,0,0,0,51,8
Matt Nieto,COL,LW,33,5,10,15,8,2,44,1,0,0,1,0,22,8
Mattias Ekholm,NSH,D,31,5,11,16,2,12,78,2,0,1,1,1,23,49
Marcus Johansson,BUF,LW,27,5,9,14,0,14,27,1,1,2,0,0,24,11
